city,year,pop,enroll,rent,rnthsg,tothsg,avginc,pctstu
1,80,75211,15303,197,13475,26167,11537,20.346758
1,90,77759,18017,342,15660,29467,19568,23.170309
2,80,106743,22462,323,14580,37277,19841,21.043066
2,90,141865,29769,496,26895,55540,31885,20.984034
3,80,36608,11847,216,7026,13482,11455,32.361778
3,90,42099,10265,351,9557,16894,21202,24.383001
4,80,36640,13825,267,7896,14041,14682,37.731987
4,90,46209,18173,588,10617,17926,29044,39.327835
5,80,62134,8175,475,5796,21337,31300,13.157047
5,90,110330,18205,925,15112,40257,56307,16.500498
6,80,118550,12223,276,25562,47056,16291,10.310417
6,90,132605,15192,630,26972,50199,35103,11.456581
7,80,76685,20724,302,15185,28674,16744,27.024841
7,90,83312,24809,521,18674,34681,29407,29.778423
8,80,65092,17134,257,10874,23543,15773,26.322742
8,90,87758,21377,422,15943,33689,26826,24.359034
9,80,126109,16009,253,32471,46880,11683,12.694573
9,90,130474,19012,568,33417,48986,25811,14.571486
10,80,81371,24528,242,14782,28307,12586,30.143417
10,90,84770,26027,383,16889,31924,21077,30.703079
11,80,81548,22735,228,17344,30822,11750,27.879286
11,90,124773,33980,444,27655,50442,23453,27.233456
12,80,42549,14863,187,9506,15055,10018,34.931492
12,90,45734,18396,347,11332,17012,14286,40.223904
13,80,58133,19532,243,11014,21238,14894,33.598816
13,90,63502,21070,422,12765,24173,22967,33.180058
14,80,73706,12215,336,14381,27907,21715,16.572599
14,90,73233,14887,636,13682,27954,22346,20.328268
15,80,52044,25719,210,10437,16940,10933,49.417801
15,90,60633,29886,403,13807,20983,18393,49.289989
16,80,77216,13618,195,10533,27465,13459,17.636242
16,90,71305,15799,325,11562,27188,19353,22.156931
17,80,45775,20465,251,7442,14015,16104,44.707809
17,90,47198,21615,404,8728,15613,24636,45.796432
18,80,50508,18299,234,9821,18594,14417,36.229904
18,90,59738,23508,414,12128,21951,24565,39.351837
19,80,52738,19308,248,9717,18773,13180,36.611172
19,90,65608,22508,415,13178,24513,22900,34.306793
20,80,32644,9253,224,6743,12821,13030,28.345179
20,90,37712,12223,396,8184,14689,21531,32.411434
21,80,40450,8551,194,6909,14313,12195,21.139679
21,90,40641,7086,332,7893,15973,20043,17.435595
22,80,219419,24732,239,36118,78581,15158,11.271585
22,90,219531,29333,354,39310,83340,21898,13.361667
23,80,95322,23403,257,29947,38836,14211,24.551519
23,90,95802,24364,538,27446,39405,33140,25.43162
24,80,51392,32289,248,8293,12714,15000,62.828846
24,90,50677,32044,451,9024,13500,24719,63.231842
25,80,79722,17340,232,14092,28375,14620,21.750584
25,90,80277,18351,403,15481,29409,23207,22.859598
26,80,107966,35628,309,22728,38945,18316,32.999279
26,90,109592,36074,568,23661,41657,33344,32.916637
27,80,42566,8571,238,5756,13920,15367,20.13579
27,90,48812,11889,399,8731,17926,24004,24.356716
28,80,40829,7392,197,6509,14517,10983,18.104778
28,90,41882,8703,304,8569,15911,21174,20.77981
29,80,62061,22202,236,11666,21452,13651,35.774479
29,90,69101,22166,382,14533,25841,22059,32.077682
30,80,171932,24993,231,26683,64934,17094,14.536561
30,90,191972,29616,379,31584,75402,28056,15.42725
31,80,45086,5645,215,6423,16165,13593,12.520516
31,90,62126,9002,366,10415,23797,23648,14.489907
32,80,28732,14173,230,6230,9195,10294,49.328274
32,90,29541,16361,493,6839,9617,25152,55.384041
33,80,101727,14587,212,24737,40767,12511,14.339359
33,90,101082,17635,456,25989,42121,17738,17.446232
34,80,170105,21139,210,38869,66961,12321,12.427031
34,90,163860,23703,409,38280,64945,21242,14.465397
35,80,32421,14338,256,5859,10019,15744,44.224422
35,90,38719,15359,489,8199,13780,30489,39.667862
36,80,100831,14863,225,22012,37976,12845,14.740506
36,90,136611,18486,440,31270,560011,24354,13.531854
37,80,150255,16498,255,28181,54851,17022,10.98
37,90,207951,29138,479,45587,85822,32451,14.011954
38,80,35740,10463,231,6109,11472,13471,29.275322
38,90,44972,12470,374,9849,17017,12206,27.728365
39,80,61383,8534,228,11002,23602,17065,13.902872
39,90,74111,11938,355,15647,30149,25326,16.108271
40,80,43765,7959,216,7468,15577,16009,18.185764
40,90,49425,10494,367,9505,18531,25456,21.23217
41,80,25728,13789,252,4062,7130,13521,53.595306
41,90,28176,14394,393,4917,8502,21766,51.086029
42,80,26164,10030,248,5311,8655,13891,38.335117
42,90,28835,12611,401,5404,8808,21463,43.735043
43,80,68020,16689,244,11109,24831,15555,24.535431
43,90,80071,17751,362,15623,31907,25165,22.169075
44,80,38268,18098,219,7027,12829,11102,47.292778
44,90,36676,14972,354,8544,14172,18501,40.822334
45,80,40960,16072,245,8292,14637,13621,39.238281
45,90,44757,15872,385,9506,16743,23212,35.462608
46,80,105624,19179,249,21538,42323,14959,18.157804
46,90,112669,21440,425,22791,46274,25369,19.029192
47,80,564871,58499,225,111180,217150,14834,10.35617
47,90,632910,74047,422,137242,256996,26651,11.699451
48,80,36130,24358,266,7400,9830,9771,67.417656
48,90,38923,27717,490,8335,10938,18257,71.209824
49,80,101208,17326,203,16366,30436,12393,17.1192
49,90,98052,17312,392,18649,33919,23216,17.655937
50,80,175030,22802,203,33499,68574,11971,13.027481
50,90,165121,21604,332,35081,69973,19923,13.083738
51,80,32845,6495,226,5647,11517,14295,19.7747
51,90,44922,8196,388,8971,17110,26394,18.244959
52,80,37272,22555,282,8798,11967,9789,60.514595
52,90,52456,31212,428,13952,17878,9262,59.501297
53,80,173979,23397,245,25130,60783,15732,13.448174
53,90,186206,28322,381,30940,69143,24130,15.210036
54,80,27149,7657,194,4842,9268,11713,28.203617
54,90,30872,9990,346,6584,11306,15917,32.359421
55,80,101261,12883,207,17571,37578,12007,12.722569
55,90,103590,16308,353,21119,39482,17852,15.742832
56,80,26844,7863,198,4895,9291,12693,29.291462
56,90,32762,9232,328,6293,11034,21312,28.178988
57,80,74108,26926,186,11282,20083,12647,36.333458
57,90,86835,31236,336,14304,23805,21162,35.971672
58,80,37312,8699,243,7415,13107,13048,23.314215
58,90,39127,9972,493,8773,14680,25523,25.486237
59,80,39916,8860,268,8464,15401,13942,22.196613
59,90,40341,9657,469,9215,16009,18592,23.938425
60,80,63684,6331,204,10637,25496,12540,9.9412727
60,90,54844,7013,311,10053,23419,18276,12.787178
61,80,27605,11768,220,5000,9628,10994,42.629959
61,90,25879,11870,355,5334,9588,18022,45.867306
62,80,51509,9610,225,7169,18359,14457,18.656933
62,90,56856,10640,352,8980,21118,24735,18.713943
63,80,48347,9051,220,8224,18085,13458,18.720913
63,90,51003,9961,344,10073,19970,21947,19.530224
64,80,170616,37475,243,34108,66451,16510,21.964529
64,90,191262,44601,472,41029,77361,29420,23.319321